184;40;299;1;10;1077.89;0.346;1
91;89;581;68.74426;1;231464.58;0.86;1
108;91;454;1;61.2960975;9040624.98;0.1730;1
162;59;522;1;3466.4466615;997292.27;0.6325;1
89;129;454;1;1;23429.87;0.1730;1
121;120;448;80.6916;1;39.04;0.1073;1
140;141;605;1;58.28909839;440992.29;0.393;1
140;141;605;1;58.28909839;440992.29;0.393;1
139;89;605;1;88.38613861;257378.92;0.393;1
162;56;385;1;1000;1219441.95;0.1597;1
64;23;607;72.7832;1;2524.09;0.1834;1
141;129;519;1;1.122582;400546.05;0.1369;1
88;93;473;3553.550305;1;2.93;0.1275;1
140;176;488;1;4179.049;909394.92;0.3014;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
160;161;758;1;12.32170567;21928.07;0.148;1
6;163;619;70.2405;1;136;0.184;1
51;23;607;72.765;1;2524.09;0.1834;1
108;91;454;1;61.2960975;9040624.98;0.1730;1
42;40;437;76;1;1122.42;0.484;1
121;88;784;70.2688;1;143.03;0.103;1
121;117;448;1.0274;1;2788.55;0.1073;1
163;63;783;1;62.4119;596.12;0.46;1
121;108;448;75.7192;1;1190.93;0.1073;1
89;129;454;1;1;23429.87;0.1730;1
145;163;745;1.0504201680672;1;191131.01;0.77;1
121;130;448;1.0409;1;252944;0.1073;1
155;6;272;6;1;625062.94;0.194;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
52;40;437;76;1;1122.42;0.484;1
155;117;272;6;1;55486.56;0.194;1
6;40;608;68.27353895;1;1721.68;0.852;1
59;162;522;3824.09627778;1;8.08;0.6325;1
140;141;605;1;58.28909839;440992.29;0.393;1
155;108;272;395;1;5241.64;0.194;1
142;24;473;30.119575;1;9960;0.1275;1
140;141;605;1;58.28909839;440992.29;0.393;1
88;89;539;1.04712042;1;166753.32;0.3413;1
47;111;361;1.05263158;1;250000;0.0;1
88;89;539;1.04712042;1;166753.32;0.3413;1
145;140;745;77.56555841;1;179.96;0.77;1
51;88;437;76;1;114.14;0.484;1
155;125;272;450;1;290;0.194;1
155;109;272;395;1;169.52;0.194;1
108;114;783;1;363;38596.08;0.46;1
140;141;605;1;58.28909839;440992.29;0.393;1
142;163;473;30.861545255763;1;10000;0.1275;1
137;105;702;1;4713.8696;76742.3;0.570;1
139;115;546;1;40646.9168;28277.43;0.9427;1
172;79;764;1;5488.2246;2175292.37;0.99;1
155;121;272;6;1;241186.04;0.194;1
137;52;702;1;4967.08;74980.6;0.570;1
140;141;605;1;58.28909839;440992.29;0.393;1
52;161;605;26.02123219;1;448761;0.393;1
140;141;605;1;58.28909839;440992.29;0.393;1
59;161;605;22.08889757;1;448761;0.393;1
6;115;546;1;6.2691;28277.43;0.9427;1
142;138;473;14.91024;1;20326;0.1275;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
91;93;454;238977.17767953;1;38.53;0.1730;1
6;129;608;69.34329911;1;641.76;0.852;1
6;130;608;1.0229999;1;114902.95;0.852;1
87;161;550;1;3.11829307;328243.1;0.83;1
117;139;584;6681.574;1;35.95;0.3721;1
89;69;425;1.02040816;1;100000;0.509;1
56;88;577;29.05;1;18924.15;0.86;1
6;131;608;79.40723401;1;1480.28;0.852;1
89;129;454;1;1;23429.87;0.1730;1
142;180;473;37.352458;1;8127;0.1275;1
137;117;702;1;5237.6329;563642;0.570;1
6;185;661;2.24618149;1;2150.22;0.1485;1
142;181;473;1;1.056155;320127;0.1275;1
172;59;522;1;5515.42803526;997292.27;0.6325;1
63;161;528;22.0654;1;449.76;0.8017;1
142;160;473;116.094338;1;2611;0.1275;1
142;139;473;2710.787629;1;111.82;0.1275;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
142;93;473;103402.279183;1;2.93;0.1275;1
59;121;271;1.04;1;56364.6;0.976;1
139;141;605;1;77.3552034;440992.29;0.393;1
155;88;272;395;1;3581.39;0.194;1
155;41;272;450;1;558.92;0.194;1
59;172;522;6413.61595443;1;2.02;0.6325;1
40;185;661;1;35.994;2150.22;0.1485;1
89;69;425;1.02040816;1;100000;0.509;1
59;88;271;71.5;1;2053.15;0.976;1
108;6;601;1;66.4147;1740202.9;0.1047;1
52;185;661;1.79694519;1;2150.22;0.1485;1
148;93;511;3413.62537092;1;0;6.7;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
99;40;438;1;28.687;2038.97;0.4046;1
155;40;272;395;1;2794.96;0.194;1
137;88;702;1;76.4315;6654.07;0.570;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
141;99;454;25.61675964;1;5864.48;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
59;139;271;7685.9224644157;1;6.64;0.976;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
2;91;86;1.04286161;1;5000000;0.68;1
155;163;272;400;1;1000;0.194;1
2;71;86;1.02040816;1;5000000;0.68;1
52;138;473;35.646675;1;20326;0.1275;1
93;148;511;1;3408.18977547;0;6.7;1
155;139;272;38276.8627;1;63.78;0.194;1
130;59;522;1.05207785;1;997292.27;0.6325;1
139;88;454;1;90.05712;1686.87;0.1730;1
141;129;519;1;1.122582;400546.05;0.1369;1
141;129;519;1;1.122582;400546.05;0.1369;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
155;99;272;70678.6282;1;38;0.194;1
141;99;454;25.61675964;1;5864.48;0.1730;1
141;99;454;25.61675964;1;5864.48;0.1730;1
155;93;272;1545036.4308;1;18.66;0.194;1
113;129;272;395;1;1693.61;0.194;1
6;88;608;69.77270308;1;1684.69;0.852;1
140;141;605;1;58.28909839;440992.29;0.393;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
113;130;272;6;1;423800;0.194;1
142;162;473;1641.167649;1;184.7;0.1275;1
88;51;722;1;66.9008;5939.99;0.103;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
23;173;633;1;14.9409;53192.26;0.1164;1
142;140;473;2052.026515;1;147.72;0.1275;1
141;129;519;1;1.122582;400546.05;0.1369;1
93;141;454;1;2963.71203472;88950.72;0.1730;1
117;105;454;1.07538445;1;5971671.55;0.1730;1
129;56;438;1;26.6025;1649.35;0.4046;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
89;121;454;1;66.06765;633708.59;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
108;91;454;1;61.2960975;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
140;141;605;1;58.28909839;440992.29;0.393;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
59;49;271;1.1;1;34600.2;0.976;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
59;112;271;1;1;1118.65;0.976;1
59;104;271;60;1;15.74;0.976;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
177;51;454;1;412.26547522;2358289.55;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
149;89;605;1;41.31683168;257378.92;0.393;1
89;121;454;1;66.06765;633708.59;0.1730;1
91;139;454;6268.37024254;1;1529.89;0.1730;1
63;117;621;1.1877542554266;1;24394.24;0.725;1
88;89;539;1.04712042;1;166753.32;0.3413;1
40;117;417;1;65.9567;6110427.92;0.3895;1
140;40;397;1;67.9206;38226.16;0.213;1
141;129;519;1;1.122582;400546.05;0.1369;1
121;93;615;260252.2627;1;1.1;0.1913;1
142;99;473;795.537182;1;361;0.1275;1
59;6;564;1;1.01071356;1138259.21;0.443;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
23;182;633;1;9.3188;36554.59;0.1164;1
139;63;783;1;5289.1362;596.12;0.46;1
88;89;539;1.04712042;1;166753.32;0.3413;1
184;105;299;1;700;28680.58;0.346;1
142;173;473;1.936166;1;156414;0.1275;1
59;130;522;1.05075129;1;198008;0.6325;1
141;56;519;1;31.19928;1350826;0.1369;1
56;63;196;1;2.3250598;77003.5;0.394;1
140;141;605;1;58.28909839;440992.29;0.393;1
137;40;702;1;79.9591;12177.2;0.570;1
99;149;640;1.53691106;1;126.22;0.588;1
140;141;605;1;58.28909839;440992.29;0.393;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
141;129;519;1;1.122582;400546.05;0.1369;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
140;141;605;1;58.28909839;440992.29;0.393;1
89;129;273;1.03;1;560.91;0.916;1
129;139;789;98.8;1;2.46;0.1;1
114;75;783;1.03;1;15480.43;0.46;1
40;64;745;1;61.92;5294335.9;0.77;1
113;6;272;6;1;625062.94;0.194;1
2;59;86;1.02585146;1;1490000;0.68;1
40;89;454;1.0989011;1;94523.79;0.1730;1
40;89;454;1.0989011;1;94523.79;0.1730;1
24;40;473;1.03375948;1;13000;0.1275;1
88;6;609;1;65.70503;88595.96;0.314;1
108;66;783;1;363;26695.24;0.46;1
89;139;273;260;1;14.57;0.916;1
140;141;605;1;58.28909839;440992.29;0.393;1
69;89;425;1.02040816;1;500000;0.509;1
113;117;272;6;1;55486.56;0.194;1
114;90;783;1.03;1;720627.55;0.46;1
69;89;425;1.02040816;1;500000;0.509;1
121;108;615;70.5847;1;72.02;0.1913;1
89;121;454;1;66.06765;633708.59;0.1730;1
127;99;387;12322.34939;1;66.41;0.4795;1
40;162;745;60.85434634;1;272.13;0.77;1
64;177;633;447.1012;1;10519.4;0.1164;1
89;117;454;1;65.774016;601863.25;0.1730;1
140;141;605;1;58.28909839;440992.29;0.393;1
71;99;219;1982.913;1;0.33;0.9539;1
121;117;454;1.02040816;1;596085.36;0.1730;1
89;117;454;1;65.774016;601863.25;0.1730;1
108;75;783;1;363;15480.43;0.46;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
89;117;454;1;65.774016;601863.25;0.1730;1
88;99;387;28.93929;1;240.52;0.4795;1
99;56;654;1;703.5415;311991.53;0.140;1
114;127;783;1.04;1;1033107.48;0.46;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
2;105;86;1.02658865;1;3290000;0.68;1
108;90;783;1;363;720627.55;0.46;1
6;89;656;73.983739837398;1;240313.95;0.539;1
139;60;200;1;2417.64296172;67841.61;0.37;1
59;6;271;1.0164;1;166646.33;0.976;1
6;162;656;4081.6326530612;1;505;0.539;1
139;56;654;1;2148.3545;311991.53;0.140;1
91;93;454;238977.17767953;1;38.53;0.1730;1
42;56;654;2.449;1;311991.53;0.140;1
40;1;745;1.2048192771084;1;44900.58;0.77;1
91;93;454;238977.17767953;1;38.53;0.1730;1
91;93;454;238977.17767953;1;38.53;0.1730;1
129;59;522;1;63.112015;997292.27;0.6325;1
2;56;86;2.65656817;1;100000;0.68;1
6;140;619;4961.2317801783;1;1.5;0.184;1
69;89;425;1.02040816;1;300000;0.509;1
59;63;271;1.02;1;175513.43;0.976;1
56;93;385;100588.2851;1;21.65;0.1597;1
6;99;219;2093.1368;1;0.33;0.9539;1
142;149;473;1276.523346;1;237.46;0.1275;1
63;163;745;74;1;191131.01;0.77;1
93;102;626;1;91967.27184466;81849.99;0.154;1
139;56;385;1;2401.2129;1219441.95;0.1597;1
140;141;605;1;58.28909839;440992.29;0.393;1
63;145;745;81.182795698925;1;48267;0.77;1
137;105;614;1;4698.7459;198376.48;0.1565;1
59;41;271;76.13;1;1600.54;0.976;1
137;88;614;1;70.5792;4880.22;0.1565;1
178;42;454;1;140.59117271;14924032.74;0.1730;1
40;161;745;1;2.91761;49664.66;0.77;1
63;162;656;4000;1;505;0.539;1
121;156;615;73.616;1;178.89;0.1913;1
6;56;654;2.5409;1;311991.53;0.140;1
6;99;387;1999.87199;1;228.02;0.4795;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
6;42;601;1.055;1;8002451.77;0.1047;1
130;89;454;74.14998168;1;94523.79;0.1730;1
142;124;473;1;5.676835;1720753;0.1275;1
121;40;615;73.616;1;178.89;0.1913;1
40;63;745;1;63.855;1286184.7;0.77;1
121;130;615;1.1111;1;527.34;0.1913;1
40;149;745;49.27045241;1;540.3;0.77;1
117;88;664;69.729;1;112.43;0.555;1
178;51;454;1;140.96238937;2358289.55;0.1730;1
143;115;473;1;425.210848;4535147;0.1275;1
63;99;387;1959.11444676;1;240.52;0.4795;1
88;89;539;1.04712042;1;166753.32;0.3413;1
62;99;473;1968.043032;1;361;0.1275;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
40;99;745;31.94555455;1;651.72;0.77;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
177;180;612;1;5.08445;508.44;0.13;1
90;120;441;460;1;80.11;0.380;1
52;180;473;89.098079;1;8127;0.1275;1
140;141;605;1;58.28909839;440992.29;0.393;1
42;6;120;1.04254;1;288214.67;0.410;1
129;63;299;1;60;469.17;0.346;1
93;141;605;1;2961.67541685;440992.29;0.393;1
141;171;425;1.02040816;1;100000;0.509;1
177;184;612;1.92903095;1;51.83;0.13;1
63;99;219;2162.56;1;0.33;0.9539;1
93;141;605;1;2961.67541685;440992.29;0.393;1
40;131;219;1.1744;1;291.7;0.9539;1
6;93;409;282095;1;0.55;0.446;1
95;6;271;1.0308;1;166646.33;0.976;1
93;141;605;1;2961.67541685;440992.29;0.393;1
95;63;271;1.02;1;175513.43;0.976;1
149;89;605;1;41.31683168;257378.92;0.393;1
93;56;385;1;94370.5837;1219441.95;0.1597;1
93;141;605;1;2961.67541685;440992.29;0.393;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
89;93;273;4700;1;0.15;0.916;1
95;41;271;77;1;1600.54;0.976;1
59;117;601;1.0101;1;128116.65;0.1047;1
141;171;425;1.06382979;1;100000;0.509;1
95;40;271;68.74;1;1155.73;0.976;1
121;129;615;73.2829;1;147.72;0.1913;1
139;42;755;1;5808.57;176902.03;0.55;1
114;2;531;5.9;1;68751.05;0.6;1
114;1;531;390;1;1642.78;0.6;1
93;42;755;1;220425.64;176902.03;0.55;1
95;117;271;1.075;1;52854.27;0.976;1
95;108;271;68.9;1;2202.1;0.976;1
95;99;271;2156.52023894;1;36.95;0.976;1
20;49;205;1;1.20726;152561.12;0.38;1
120;99;219;26.2793;1;0.33;0.9539;1
42;1;564;70;1;23255.97;0.443;1
93;141;605;1;2961.67541685;440992.29;0.393;1
162;130;704;1;3295.6281;42416.13;0.209;1
162;129;704;1;47.27234;769.47;0.209;1
88;89;539;1.04712042;1;166753.32;0.3413;1
113;108;272;395;1;5241.64;0.194;1
182;62;454;1;6.76647088;11066967.25;0.1730;1
6;56;564;2.5134;1;489203.99;0.443;1
59;129;522;75.70545455;1;12.85;0.6325;1
99;162;640;1.97796429;1;104.48;0.588;1
91;96;283;254.00894164827;1;38.22;0.133;1
142;177;473;193.086195;1;1570;0.1275;1
51;177;633;444.4669;1;10519.4;0.1164;1
121;91;454;1.08695652;1;9040624.98;0.1730;1
117;91;454;1.11111111;1;9040624.98;0.1730;1
88;93;725;4010.58795219;1;0.33;0.30;1
141;93;725;3275.61872212;1;0.33;0.30;1
89;93;725;3787.77778047;1;0.33;0.30;1
91;93;725;283667.18123893;1;0.33;0.30;1
91;51;581;1.03092784;1;1037939.02;0.86;1
99;129;621;1;24.17534;1430.28;0.725;1
117;91;454;1.11111111;1;9040624.98;0.1730;1
139;56;200;1;2434.24;70742.96;0.37;1
161;51;745;1;17.6;227800;0.77;1
99;137;640;2.84368311;1;29.07;0.588;1
121;41;448;80.193;1;101.48;0.1073;1
121;139;448;8291.946;1;2.31;0.1073;1
141;56;519;1;31.19928;1350826;0.1369;1
141;56;519;1;31.19928;1350826;0.1369;1
108;127;783;1;363;1033107.48;0.46;1
137;42;702;1;5008.5219;260662.6;0.570;1
40;52;588;1;65.5501;163705.23;0.1756;1
141;99;454;25.61675964;1;5864.48;0.1730;1
172;93;764;41.7495;1;6.53;0.99;1
42;88;219;68.5751;1;212.63;0.9539;1
60;59;666;1;2.34;1860827.88;0.1144;1
93;141;605;1;2961.67541685;440992.29;0.393;1
93;141;605;1;2961.67541685;440992.29;0.393;1
1;14;464;1;65.3;32062.14;0.134;1
137;117;614;1;5239.731;914031.86;0.1565;1
141;56;519;1;31.19928;1350826;0.1369;1
93;141;605;1;2961.67541685;440992.29;0.393;1
93;1;277;1;3290.11;100000;0.154;1
6;93;792;279204.82465937;1;9.31;0.31;1
142;161;473;9.126419;1;33221;0.1275;1
93;117;652;1;235200.81;18360.09;0.559;1
42;76;120;69.2256;1;1702.52;0.410;1
91;129;454;67.25284244;1;23429.87;0.1730;1
139;45;200;1;84.03;2462.81;0.37;1
63;162;454;3829.51020564;1;14570.56;0.1730;1
142;48;473;36.721504;1;8203;0.1275;1
149;89;605;1;41.31683168;257378.92;0.393;1
93;141;605;1;2961.67541685;440992.29;0.393;1
185;63;606;1.10631707;1;524243.5;0.694;1
93;141;605;1;2961.67541685;440992.29;0.393;1
42;41;120;76.5959;1;17659.36;0.410;1
108;115;764;1;428.301;534068.66;0.99;1
93;141;605;1;2961.67541685;440992.29;0.393;1
95;93;271;288267.51225137;1;1.2;0.976;1
137;63;702;1;4723.2272;80442.7;0.570;1
137;40;614;1;70.6556;23397.82;0.1565;1
182;63;606;1;6.9455;524243.5;0.694;1
121;93;448;316218.5;1;0.57;0.1073;1
42;40;120;68.2202;1;20017.78;0.410;1
109;112;271;1;55;1118.65;0.976;1
121;56;448;2.6262;1;17345.5;0.1073;1
121;6;448;1;1;15289.7;0.1073;1
3;49;205;1;73.33012;152561.12;0.38;1
93;141;605;1;2961.67541685;440992.29;0.393;1
52;178;640;153.7946;1;1509.94;0.588;1
93;141;605;1;2961.67541685;440992.29;0.393;1
149;89;605;1;41.31683168;257378.92;0.393;1
109;139;271;114.66666972;1;6.64;0.976;1
93;141;605;1;2961.67541685;440992.29;0.393;1
93;141;605;1;2961.67541685;440992.29;0.393;1
1;49;205;1;63.89225;152561.12;0.38;1
60;40;644;27.206464646465;1;3148.59;0.908;1
90;88;441;395;1;3972.41;0.380;1
2;49;205;1.05263158;1;152561.12;0.38;1
93;141;605;1;2961.67541685;440992.29;0.393;1
117;163;652;82.684935989002;1;25.96;0.559;1
90;6;441;6.0931;1;3186.41;0.380;1
93;141;605;1;2961.67541685;440992.29;0.393;1
6;56;584;2.7999;1;408038.6;0.3721;1
99;63;640;1;1925.3796;413.81;0.588;1
40;162;644;56.9233;1;0.68;0.908;1
93;141;605;1;2961.67541685;440992.29;0.393;1
171;141;425;1.02040816;1;100000;0.509;1
