474;SuperChangeNet;;0;44769
475;ObmenPP;;0;334158
478;Coinex24;;0;28579
489;ZB;;0;0
488;FastChange;;0;524775
486;Обменио;;0;138954
490;O-Paxum;;0;40581
498;Kraken;;0;0
499;Ecoin;;0;0
502;OkCoin;;0;0
500;BitStamp;;0;0
491;WEX;;0;0
504;OKEx;;0;0
497;Cexio;;0;0
496;Bitfinex;;0;0
492;Poloniex;;0;0
495;LiveCoin;;0;0
493;Criptex;;0;0
501;ItBit;;0;0
494;Exmo;;0;0
503;HitBtc;;0;0
505;CryptoMate;;0;0
508;Gemini;;0;0
507;Bitkonan;;0;0
506;Bitlish;;0;0
510;Binance;;0;0
509;TheRockTrading;;0;0
511;Bittrex;;0;0
512;CoinBase;;0;0
513;BitBay;;0;0
514;C-Cex;;0;0
515;YoBit;;0;0
517;BaksMan;;0;3213777
521;Шахта;;0;531244
522;Касса;;0;59604
519;BitExchanger;;0;4028076
524;100Btc;;0;11249876
528;WmExpress;;0;36318
529;LuxObmenka;165881930154;860;37582
531;FastWM;176080725420;781;22133
532;QuickChange;;0;402563
533;2x2Change;;0;219105
536;WuBill;;0;0
537;100BtcKiev;;0;224590
538;50Cents;;0;0
539;NewLine;;0;15855780
544;Банкомат;;0;6615483
543;UkrWebTransfer;430892468345;1792;1989
545;XCoin;;0;606373
743;Treddr;389246840335;62;179187
547;Обменник24;;0;55243
546;NetEx24;;0;207128
548;ObmenTop;191116885147;509;7702
550;PayBis;;0;2899534
551;RocketChange;697747012700;903;509446
555;Cashex;;0;0
556;ObmennCom;;0;10514
558;1Exchanger;670481125823;519;229
559;MinedTrade;;0;295350
560;MegaBestObmen;;0;5302
561;BetaTransfer;;0;5240
562;Z-Exchange;;0;3051
564;Babasiki;355685642804;1001;277560
565;Transfer24;;0;46699
566;GetExchange;243633864016;456;0
567;Coin-Bank;;0;22818
573;Биткоин24;;0;4858
575;Your-Coins;;0;8247
577;Bit-Обменка;;0;371517
579;ShapeShift;;0;0
581;8Pay;437302142553;967;438844
582;Обмен24;929821584599;966;24239
583;SBitcoin;;0;3458400
584;F-Change;;0;143375
585;ObmenoFF;;0;124111
586;КэшБанк;;0;6455610
587;Payforia;;0;225356
589;ObmenTech;421609434468;1149;69808
588;7Money;;0;58085
590;ExMoney;;0;8605
599;iChanger;360880458968;828;96209
602;Zanachka-Pay;;0;9636
603;RuBitok;;0;8433
604;BestObmen;;0;6440
608;GeeExchange;;0;429558
606;CryptoMoney;;0;616088
605;Buy-Bitcoins;;0;2768256
607;60сек;;0;4926859
610;WMBlrClub;215095201536;1002;58416
609;ObmenMoney;279259009479;536;35983
611;ChangerClub;;0;43886
612;Changelly;;0;438880
614;El-Change;;0;101270
615;Pocket-Exchange;;0;87304
619;LeoExchanger;;0;56724
630;GoodExchanger;;0;15561
620;4Exchange;;0;9235
621;Pay-Today;;0;12060
618;24BestEx;;0;418433
624;VV-Obmen;;0;17720
622;ProstoCash;;0;11637156
625;PayGet;;0;541922
631;Exchanger-em;;0;29147
629;MonEx;189133223119;1059;80686
626;Best-Obmen;;0;464843
640;BTC2Pay;;0;90684
632;Midas24;;0;8044
636;WorldChange;;0;105298
644;UniEx;;0;24262
664;TierraPay;;0;40213
639;Валютчик;;0;0
646;XchangeMoney;154427020423;941;0
667;BitMonsters;;0;65716
645;BtcBit;;0;1171433
756;24-Обмен;188455012249;493;2983
680;TopObmen;112969914476;599;5804
681;CryptoHome;;0;568605
635;Staff-Obmen;;0;11865
633;YChanger;;0;6686143
733;Bonanza-Obmen;;0;6549
736;Обменник-UZ;417711911618;309;8967
637;EuroBitcoins;;0;45881
671;RootPay;880322840330;558;261047
634;BestCoin;;0;982816
668;MyCryptoMarket;;0;148741
648;LiCash;058193588903;119;2274
722;Алтын;;0;50588
650;Real-Bit;;0;0
638;Bitcoin24SU;;0;14847
642;BuyBit;;0;33455
674;All24;;0;5030
678;Ym-Change;;0;1157
673;Smart-Obmen;;0;298898
666;1Обмен;;0;240798
656;DBChange;;0;4739154
655;BitStore;;0;9595
659;1-Online;;0;8726342
665;Perfect-Change;;0;17238
670;FastEx;;0;0
652;LasloBit;;0;2066395
653;BTC-Online;;0;234755
731;BigBank;847669728199;1;30958
689;TransCoin;;0;384638
651;Монетка;702499140547;455;15123
657;Easy-Changer;;0;74477
661;Ферма;;0;10340
663;OwlChange;;0;0
677;Bitcoin24Exchange;;0;2899
654;Ru-Bas;;0;26057
738;HASchange;;0;25883
702;Papa-Change;;0;63255
660;FlyChange;290933993890;1318;398870
662;CashOnline;;0;6027
693;CryptoBroker;;0;1064849
714;Top-Exchange;;0;97139
719;ObmenLite24;483565345269;397;2110
672;99Francs;;0;46798
715;Coins-Trade;;0;57407
676;Иеремия76;;0;3490
658;BtcTenge;;0;37054
727;Пополни;121628621279;884;12362
762;TetChange;179504421328;601;119248
720;WM-Thailand;407826847451;1835;35282
708;ObmennegRu;736679757699;394;3786
695;BTC-Обменник;;0;24956
706;HoBit;;0;50789
705;Cryptonex;;0;72336
713;CashOut;;0;154570
697;ChangeTime;828193256536;343;2268
687;WikiPays;;0;75688
746;V-Obmen24;;0;13881
701;WMCash;236702904683;322;395068
700;СамСебеБосс;316085552949;42;22172
749;Битокк;;0;23909
690;Fair-Exchange;413428403759;93;5483
684;100Bitcoins;;0;55898
723;BitObmen;;0;17327
753;WMHub;329599575392;76;26292
704;Change-X;;0;10720
752;24ExPay;;0;179311
692;C1kWorld;;0;372272
688;ExchangeExpress;279259009479;536;4490
710;Bittrend;;0;234953
691;iPay24;;0;14251
712;Criptify;;0;12432
755;Big-Changer;;0;3189
725;CryptObmen;;0;26221
699;BitPro;;0;592811
703;Obmen4you;320026778932;480;5571
729;WallBTC;;0;5311457
726;ObmenMarket;;0;0
739;AcryptoExchange;;0;3470
716;Биток777;;0;33956
711;HelpChange;;0;0
732;InCash24;742570237314;286;8827
760;Shift-Money;;0;2869
751;ObmenExpert;;0;7339
782;Tec-Bit;;0;54115
750;CashAdmin;;0;26390
728;ElectronExchange;888980571267;259;345454
763;PushPayer;753021635396;3;30316
758;CryptoBox;;0;154603
741;BTCe-Obmen;;0;10204
737;BonkyPay;232342940453;119;16263
761;FlashObmen;;0;81612
747;GetEx24;;0;0
745;CryptoChange24;;0;1074816
754;ObmenIM;;0;59975
757;ChangeNow;;0;21975272
744;Биток;;0;799823
783;ОбменДенег;;0;10549
770;BTC24pro;;0;36934
779;MoneyMix;;0;13881
781;iMoney24;;0;89284
768;Sooop;;0;92680
790;Турбина;;0;11921
776;BitcoinsMD;;0;154558
765;Bit-Exchange;;0;39598
785;PayMarket;;0;6296
775;AllWMCash;;0;159419
780;Bitcoin24Ru;;0;9625
774;ОбменМонет;;0;1200812
777;Fox-Rocket;;0;6062
764;NiceChange;;0;818415
786;EmExchanger;;0;28606
772;CoinPayMaster;;0;5931
789;MChanger;;0;6353
792;SberBit;;0;57360
784;InTo;;0;5445
799;Криптообменник;;0;7789
787;PrivatCash;;0;309429
791;WebObmenUZ;490520599256;373;9531
801;Coin-Future;;0;3569
795;CashWallet;;0;7686
793;IceBtc;;0;7705
