63;93;12.9202
42;93;7.2087
93;42;4.3899
63;56;3.263
93;63;2.3142
56;63;2.1771
63;99;2.1113
63;130;2.0428
93;56;1.8289
2;56;1.6973
6;93;1.6945
59;93;1.4642
6;99;1.382
56;93;1.2641
93;6;1.1873
1;56;1.1132
93;105;1.0063
139;42;0.9268
63;139;0.924
42;139;0.8336
