999;840;0.0254276275
643;980;2.11125
764;156;4.746325
643;156;9.64
566;840;306.3
643;978;75.87
860;398;22.67
980;840;28.269049
980;156;4.065405
980;51;0.05782912
980;643;0.42228
102;840;1176.4705882353
974;980;0.075941
974;840;2.1471
974;978;2.4227
974;156;0.30878
974;643;0.032013
974;398;0.005752
974;826;2.7409
978;840;0.8862105636
566;826;391.8802
999;978;0.0288608134
978;764;0.026839153
764;643;0.4925
997;967;123.1311765676
997;840;0.0291235275
978;156;0.1274469821
156;978;7.8507
156;826;8.87465
156;643;0.1033
156;840;6.9556
398;51;0.77
398;980;13.19
398;860;0.0451
398;643;5.53
398;156;53.61
398;978;420.44
398;840;372.73
967;840;0.0002345529
967;978;0.0002678351
967;156;3.37297E-5
967;826;0.0003003382
967;643;3.5055E-6
998;840;0.2345529304
998;978;0.2678351421
998;156;0.0337296682
998;826;0.3003381808
998;643;0.0035054806
996;840;443.2604465406
860;840;8299.2
996;967;1886792.4528302
826;840;0.7849909726
826;643;0.0117132228
826;978;0.886446237
826;156;0.1129509567
398;826;475.64
643;840;66.88
994;967;5882.3529411765
102;967;5044136.1916772
995;840;0.01110525
980;978;31.898795
992;840;0.0099813259
992;967;42.8431392711
993;840;0.0082932005
993;967;35.4861603974
51;840;485.05
51;826;619.12
51;978;547.18
51;156;69.79
51;398;1.3
51;643;7.2
51;980;17.17
51;860;0.058
999;860;3.0321E-6
764;978;37.269675
643;826;85.7
860;826;10632.94
860;978;9411.29
860;156;1194.52
860;980;299.29
860;643;125.39
398;974;173.65
51;974;227.62
992;991;0.6410748065
991;967;67.2268907563
991;840;0.015751426
990;840;0.2021977198
990;967;866.5511265165
999;974;0.0118763558
980;860;0.003414
999;980;0.0009003452
643;999;2630.21
860;974;3944.67
989;967;10902.747492368
989;840;2.5445292621
988;967;52.4546136455
988;993;1.4761167048
988;840;0.0122120464
988;991;0.7760898995
980;826;36.147991
978;643;0.0131734949
967;764;7.1098E-6
998;764;0.0071098138
156;764;0.2105
398;764;11.29
978;826;1.1332086804
764;826;42.06125
764;840;33.052725
566;156;44.0436
566;978;345.8127
990;993;24.6002460025
986;967;51639.555899819
986;840;12.0301475498
987;967;22.2965440357
987;840;0.0052057576
643;398;0.179531
980;764;0.847872
643;51;0.138057
985;967;489.2607270414
985;840;0.1140992772
985;993;13.6833666227
980;398;0.075843
109;102;2.0E-5
994;840;1.3847346848
986;993;1456.6642388929
980;974;13.16615
102;993;141843.97163121
981;967;2709.2928745597
981;993;76.3941940413
981;840;0.630497147
983;993;36.6629392678
983;967;1301.2361743657
983;840;0.3027321577
984;967;503.7783375315
984;993;14.2247510669
984;840;0.1177163037
104;967;276625.17289073
104;993;7794.2322681216
104;840;64.4745325596
103;967;216.4502164502
103;993;6.1163201771
103;840;0.0504413619
100;967;103145.9515214
100;993;2908.6678301338
100;840;24.1146894631
101;967;26427.061310782
101;840;6.1614298313
982;840;3.2633880495
982;978;3.7091988131
982;967;14075.585896263
982;993;397.5906009582
105;993;75.2720142415
105;967;2669.9061527987
105;840;0.6220559259
996;993;52966.101694915
997;993;3.5158887054
106;840;0.881057261
106;967;3700.9622501851
106;993;106.9510709545
860;51;17.18
860;764;250.96
107;967;524934.3832021
107;993;14503.263234228
107;840;122.1374045802
108;967;10256.41025641
108;993;290.1073397157
108;840;2.3852116875
643;974;31.3025
643;860;0.00808742
840;860;0.0001204819
840;156;0.1438041962
840;974;0.4661002927
840;840;1
840;967;4203.9880611448
840;398;0.0026768028
840;980;0.0353444315
840;764;0.0303651408
840;643;0.0149531592
840;566;0.0027434842
840;51;0.002059215
840;826;1.2805031865
840;978;1.1344235143
109;984;1.573
109;981;0.2927
109;101;0.03012
109;997;6.56
109;986;0.01532
109;100;0.00771
995;967;47.6758045292
109;985;1.61
109;983;0.611
109;989;0.07288
109;104;0.002869
109;990;0.9158
109;967;795.3551260638
109;993;22.3843846533
109;840;0.1860465116
